Train time: 12+ hours

hidden_encode = [4, 8, 16, 32, 64, 64]
        pools_encode = [2, 2, 2, 2, 2, 2]
        pools_decode = [1,1,1,1,1,1]
        hidden_dense = [64, 64]
        n_latent = 64

Creating autoencoder network...
 - C:\Users\Nick\Desktop\Ava\Programs\GameAI\Emulator\data\pacman\network\AUTO_pacman_512_512_3_6_2_64
 - input shape: (?, 512, 512, 3)
 - encode: (?, 256, 256, 4)
 - encode: (?, 128, 128, 8)
 - encode: (?, 64, 64, 16)
 - encode: (?, 32, 32, 32)
 - encode: (?, 16, 16, 64)
 - encode: (?, 8, 8, 64)
 - flat: (?, 4096)
 - latent: (?, 64)
 - dense: (?, 64)
 - dense: (?, 64)
 - dense: (?, 64)
 - reshaped: (?, 8, 8, 1)
 - decode: (?, 8, 8, 64)
 - decode: (?, 8, 8, 64)
 - decode: (?, 8, 8, 32)
 - decode: (?, 8, 8, 16)
 - decode: (?, 8, 8, 8)
 - decode: (?, 8, 8, 4)
 - dense: (?, 786432)
 - output: (?, 786432)
Created AUTO_pacman_512_512_3_6_2_64 network in 15.829691886901855

Training on data with iters
Iter 10800  Loss 2877.53320  IO 2803.18896  KL 69.40163
Iter 10900  Loss 3030.34473  IO 2967.30444  KL 69.20653
Iter 11000  Loss 2698.92603  IO 2627.75781  KL 66.80922
Iter 11100  Loss 2737.97144  IO 2655.65576  KL 70.53813
Iter 11200  Loss 3119.11035  IO 3055.46045  KL 78.98784
Iter 11300  Loss 2771.71265  IO 2705.69971  KL 68.33249
Iter 11400  Loss 2739.08862  IO 2672.56445  KL 65.83968
Iter 11500  Loss 2819.33398  IO 2743.25806  KL 69.63568
Iter 11600  Loss 2849.75146  IO 2784.49902  KL 66.82059
Iter 11700  Loss 2571.65039  IO 2500.82812  KL 72.95512
Iter 11800  Loss 2698.38281  IO 2635.04883  KL 71.93346
Iter 11900  Loss 2712.54370  IO 2653.15771  KL 68.92705
Iter 12000  Loss 2834.22363  IO 2768.99243  KL 71.02505
Iter 12100  Loss 2763.13623  IO 2699.39233  KL 72.33549
Iter 12200  Loss 2720.11890  IO 2654.43652  KL 68.40947
Iter 12300  Loss 2496.14844  IO 2425.39673  KL 66.69634
Iter 12400  Loss 2649.08911  IO 2582.85132  KL 65.22032
Iter 12500  Loss 2550.97925  IO 2479.43701  KL 66.41360
Iter 12600  Loss 3232.70312  IO 3200.58423  KL 78.24109
Iter 12700  Loss 2642.42920  IO 2575.18408  KL 69.39053
Iter 12800  Loss 2704.31201  IO 2641.91821  KL 65.80550
Iter 12900  Loss 2703.94653  IO 2640.57373  KL 65.12988
Iter 13000  Loss 2921.77930  IO 2855.54272  KL 68.10532
Iter 13100  Loss 2662.40576  IO 2582.21045  KL 75.06534
Iter 13200  Loss 2686.79688  IO 2603.78149  KL 73.58916
Iter 13300  Loss 2678.03027  IO 2611.84277  KL 66.30492
Iter 13400  Loss 2538.85034  IO 2472.84082  KL 66.24092
Iter 13500  Loss 2283.01660  IO 2217.19580  KL 63.76894
Iter 13600  Loss 2697.80176  IO 2626.69336  KL 66.37642
Iter 13700  Loss 3056.97266  IO 2982.17578  KL 71.93025
Iter 13800  Loss 2593.80273  IO 2520.09644  KL 71.97301
Iter 13900  Loss 2491.48584  IO 2424.82861  KL 63.39150
Iter 14000  Loss 2410.95728  IO 2347.26855  KL 63.72485
Iter 14100  Loss 2646.06616  IO 2585.30762  KL 61.05966
Iter 14200  Loss 2648.58154  IO 2576.38428  KL 68.45872
Iter 14300  Loss 2534.14893  IO 2469.97974  KL 67.96477
Iter 14400  Loss 2122.06055  IO 2062.35254  KL 65.11128
Iter 14500  Loss 2706.08398  IO 2668.04077  KL 66.29282
Iter 14600  Loss 3156.87598  IO 3069.60010  KL 79.96705
Iter 14700  Loss 2423.51733  IO 2355.22217  KL 69.47777
Iter 14800  Loss 2610.03369  IO 2548.72925  KL 62.61465
Iter 14900  Loss 2283.48242  IO 2220.79443  KL 62.95974
Iter 15000  Loss 2331.03101  IO 2267.76001  KL 63.11841
Iter 15100  Loss 2292.03638  IO 2229.35181  KL 62.46729
Iter 15200  Loss 2656.84009  IO 2583.71924  KL 74.08630
Iter 15300  Loss 2507.55615  IO 2439.71533  KL 67.17140
Iter 15400  Loss 2330.16602  IO 2266.03760  KL 61.87869
Iter 15500  Loss 2333.29102  IO 2270.94238  KL 61.63825
